rooms,square,living_space,kitchen_scace,curr_floor,max_floor,home_type,build_year,district,serv_lift,pass_lift,parking,loggia,balcony,garbage_chute,bathroom,repair_type,wind_view,emergency_exit,avg_price_for_m,avg_room_price,price
1,30.0,17.0,5.5,1,9,nan,1985,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,nan,257326.0,22605996.0,162500.0
1,35.67,17.8,10.0,6,16,nan,2019,Октябрьский,1,1,0,0,1,0,nan,Евроремонт,Во двор,nan,257326.0,22605996.0,162200.0
1,36.3,18.9,7.5,6,9,nan,1983,Ленинский,0,1,0,0,1,1,nan,nan,nan,1,265095.0,27288072.0,162000.0
1,40.0,17.0,10.0,10,28,Монолитный,2016,Советский,0,0,0,1,0,1,nan,Без ремонта,На улицу и двор,1,255918.0,21292776.0,169000.0
0,24.35,16.7,nan,3,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,nan,nan,121605.0
1,39.0,9.5,19.0,1,9,Панельный,nan,Советский,0,0,0,0,0,0,nan,nan,nan,1,255918.0,21292776.0,220000.0
1,32.46,14.3,8.3,6,20,nan,nan,Советский,1,1,1,1,0,0,nan,nan,nan,nan,255918.0,21292776.0,167169.0
0,27.7,16.5,nan,8,14,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,255918.0,21292776.0,169524.0
1,36.8,17.1,10.8,1,14,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,255918.0,21292776.0,168912.0
1,38.0,17.1,11.1,1,9,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,255918.0,21292776.0,165300.0
1,35.0,17.0,7.0,8,9,Кирпичный,1976,Советский,0,1,0,0,1,1,nan,Косметический,Во двор,1,255918.0,21292776.0,168000.0
2,32.0,21.0,10.7,2,2,nan,1958,Железнодорожный,0,0,0,0,0,0,nan,nan,nan,1,255976.0,30364565.0,165000.0
2,54.0,34.0,12.0,6,9,Кирпичный,1975,Первомайский,0,1,0,1,0,1,nan,Косметический,На улицу и двор,1,253643.0,2815124.0,165000.0
1,28.0,22.0,nan,1,5,nan,2010,Железнодорожный,0,0,0,0,1,0,nan,nan,nan,nan,253643.0,2815124.0,169000.0
1,34.0,19.0,7.5,3,9,nan,1976,Советский,0,1,1,0,1,0,nan,Косметический,Во двор,nan,253643.0,2815124.0,174900.0
1,31.47,14.2,8.2,1,20,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,253643.0,2815124.0,174973.0
1,38.7,17.2,10.8,6,9,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,253643.0,2815124.0,174150.0
1,36.0,nan,nan,2,26,Монолитный,2016,Советский,0,1,0,1,1,1,1,Без ремонта,Во двор,1,255918.0,21292776.0,170000.0
1,30.0,17.0,7.0,20,23,nan,2017,Ворошиловский,1,1,1,0,0,1,nan,nan,nan,nan,255918.0,21292776.0,173000.0
0,30.47,21.0,nan,18,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,255918.0,21292776.0,173160.0
1,33.0,18.0,6.0,2,5,Панельный,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,22605996.0,170000.0
1,34.5,14.5,9.4,6,10,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,257326.0,22605996.0,172500.0
2,49.28,27.1,7.1,3,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,nan,nan,248464.0
3,83.53,55.8,12.1,25,25,nan,nan,Ленинский,0,1,1,1,0,0,nan,nan,nan,1,265095.0,4812258.0,494344.0
1,32.5,16.0,8.3,6,20,nan,2017,Советский,1,1,1,1,0,0,nan,nan,nan,1,255918.0,21292776.0,175000.0
1,35.27,16.7,10.9,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,255918.0,21292776.0,175377.0
1,33.23,14.2,9.8,7,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,255918.0,21292776.0,178814.0
1,35.99,15.3,11.6,3,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,255918.0,21292776.0,178027.0
1,31.7,13.6,9.2,1,14,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,255918.0,21292776.0,178471.0
1,31.0,nan,nan,7,9,Панельный,1989,Советский,0,1,1,0,0,1,nan,Косметический,Во двор,1,255918.0,21292776.0,175000.0
1,34.0,19.7,6.0,3,9,nan,1966,Советский,0,1,0,0,1,0,nan,nan,nan,1,255918.0,21292776.0,179000.0
1,40.0,nan,nan,2,25,Кирпичный,nan,Советский,0,0,0,0,0,0,nan,nan,nan,nan,255918.0,21292776.0,178800.0
1,40.0,20.0,10.0,8,10,nan,1996,Первомайский,0,1,1,1,0,1,nan,nan,nan,1,253643.0,20172455.0,178000.0
1,32.0,18.0,9.0,8,9,Панельный,nan,Первомайский,0,0,0,0,0,0,nan,nan,nan,1,253643.0,20172455.0,175000.0
2,36.0,nan,6.0,1,1,Кирпичный,1914,Ленинский,0,0,0,0,0,0,nan,Косметический,На улицу и двор,1,265095.0,37115301.0,175000.0
1,37.3,17.9,8.5,17,20,nan,nan,Советский,0,1,1,1,0,0,nan,nan,nan,nan,265095.0,37115301.0,180905.0
1,38.4,17.1,10.9,6,14,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,265095.0,37115301.0,181632.0
1,39.0,9.5,19.0,1,9,Панельный,nan,Советский,0,0,0,0,0,0,nan,nan,nan,1,255918.0,21292776.0,220000.0
2,48.0,34.0,7.0,1,5,Панельный,nan,Первомайский,0,0,0,0,0,0,nan,nan,nan,1,253643.0,2815124.0,180000.0
1,33.0,16.0,8.0,4,5,Кирпичный,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,22605996.0,180000.0
1,31.0,17.0,6.0,3,5,Кирпичный,1963,Железнодорожный,0,0,0,0,1,0,nan,Косметический,nan,1,255976.0,21561848.0,180000.0
1,36.6,15.0,10.0,8,10,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,255976.0,21561848.0,183000.0
1,32.92,14.2,8.2,2,20,nan,nan,Советский,1,1,1,1,0,0,nan,nan,nan,nan,255976.0,21561848.0,185010.0
1,41.03,18.8,9.3,18,20,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,255976.0,21561848.0,186276.0
1,38.13,15.4,12.7,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,255976.0,21561848.0,189369.0
1,36.0,18.0,9.0,15,18,Кирпичный,nan,Железнодорожный,0,0,0,0,0,0,nan,nan,nan,1,255976.0,21561848.0,185000.0
1,37.28,17.9,8.5,16,20,nan,nan,Советский,1,1,1,1,0,0,nan,nan,nan,nan,255976.0,21561848.0,191992.0
1,33.97,14.0,8.5,20,22,nan,2019,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,255976.0,21561848.0,191184.0
2,55.3,31.0,11.5,3,18,nan,2019,Октябрьский,1,1,1,0,1,0,nan,nan,nan,nan,nan,nan,227800.0
2,58.0,23.0,20.5,5,19,nan,2018,Советский,1,1,1,1,0,0,nan,nan,nan,nan,nan,nan,352700.0
1,35.0,17.0,8.0,3,10,nan,2008,Первомайский,0,1,0,0,1,1,nan,nan,nan,1,253643.0,20172455.0,190000.0
2,50.0,33.0,5.0,9,10,nan,1979,Первомайский,0,1,0,0,1,1,nan,nan,nan,1,253643.0,2815124.0,190000.0
2,37.0,nan,6.0,2,2,nan,1917,Ленинский,0,0,0,0,0,0,nan,nan,nan,1,265095.0,37115301.0,190000.0
1,41.1,18.8,9.3,18,20,nan,nan,Советский,0,1,1,1,0,0,nan,nan,nan,nan,265095.0,37115301.0,197280.0
1,44.8,18.0,10.9,1,16,nan,nan,Ворошиловский,1,1,1,0,1,0,nan,nan,nan,nan,265095.0,37115301.0,195776.0
1,44.0,nan,nan,21,25,Кирпичный,2018,Советский,1,1,1,1,0,0,nan,Без ремонта,На улицу и двор,nan,265095.0,37115301.0,199000.0
